FID,Hotel_Name,Address,City_State,Full_Address,Rating,Num_Rooms,Pool,Bar,Biz_Center,Conference,Mtg_Rooms,Wheelchair,Concierge,Laundry,Gym,Wifi,Multilingual,No_Smoke,Breakfast_,Air_Trans,Free_Parking,Beachfront,Low_Price,High_Price,LATITUDE,LONGITUDE,NEAR_DIST_BEACH,NEAR_DIST_SHORE,BEACH_WIDTH,DIST_TO_ACCESS_POINTS,DIST_TO_AIRPORT,DIST_TO_DIVE,DIST_TO_REEF,NUM_DIVE,CORAL_COVER,City,city_comp,dive_site,class,number_rooms,3_star,4_star,5_star,near,mid,far,position,zip,crime
447,Passover Cottage,728 Passover Ln,"Key West, FL 33040-7104","728 Passover Ln, Key West, FL 33040-7104",4.5,19,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,659,1394,24.5558,-81.7969,977.9220254,988.1657011,10.24367579,1008.339146,171898.2068,32370.52272,1010.515107,0,85916927.29,KeyWest,KeyWest,0,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,1,far,33040,1.88
350,Ocean Key Resort & Spa,0 Duval Street,"Key West, FL 33040-6611","0 Duval Street, Key West, FL 33040-6611",4.5,3109,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,0,390,1132,24.5606,-81.807,1682.253015,1697.27663,15.02361471,1897.211353,172639.5473,33273.43981,1651.496349,0,77791886.56,KeyWest,KeyWest,0,4,100,0,1,0,0,0,1,far,33040,1.88
382,The Marker Waterfront Resort,200 William Street,"Key West, FL 33040-6645","200 William Street, Key West, FL 33040-6645",4.5,1909,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,325,1069,24.5604,-81.8018,1555.968957,1565.046084,9.07712733,1623.571553,172502.8765,33078.49528,1586.588173,0,82829476.93,KeyWest,KeyWest,0,4,96,0,1,0,0,0,1,far,33040,1.88
381,"Hyatt Residence Club Key West, Sunset Harbor",200 Sunset Way,"Key West, FL 33040-8312","200 Sunset Way, Key West, FL 33040-8312",4,367,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,411,1029,24.5569,-81.8074,1270.536365,1286.333966,15.79760133,1612.557328,172248.698,32920.07662,1257.834752,0,86685917.27,KeyWest,KeyWest,0,3.5,66,1,0,0,0,0,1,far,33040,1.88
376,Santa Maria Suites Hotel,1401 Simonton St,"Key West, FL 33040-3116","1401 Simonton St, Key West, FL 33040-3116",5,2093,1,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,457,909,24.5479,-81.7947,115.4744498,114.3037708,0,185.0629346,170995.7055,31640.84704,179.6769063,0,83552775.1,KeyWest,KeyWest,0,4,34,0,1,0,1,0,0,near,33040,1.88
377,"The Reach Key West, A Waldorf Astoria Resort",1435 Simonton Street,"Key West, FL 33040-3116","1435 Simonton Street, Key West, FL 33040-3116",3.5,4232,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,340,820,24.5478,-81.794,77.04288153,100.5355197,23.49263815,235.2209359,170969.6806,31578.868,173.6258765,0,83547641.71,KeyWest,KeyWest,0,4,150,0,1,0,1,0,0,near,33040,1.88
374,The Southernmost House,1400 Duval St,"Key West, FL 33040-3133","1400 Duval St, Key West, FL 33040-3133",4.5,960,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,389,816,24.5468,-81.7965,32.69059588,31.60155177,0,50.43860716,170915.9612,31706.08511,42.19049831,0,84219382.1,KeyWest,KeyWest,0,3,18,1,0,0,1,0,0,near,33040,1.88
366,H2O Suites Hotel,1212 Simonton St,"Key West, FL 33040-3159","1212 Simonton St, Key West, FL 33040-3159",5,431,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,447,810,24.5494,-81.7965,279.9918565,293.3777842,13.38592769,299.5573915,171197.1802,31887.17185,302.2104575,0,81832086.78,KeyWest,KeyWest,0,3.5,22,1,0,0,0,1,0,mid,33040,1.88
379,"Casa Marina Key West, A Waldorf Astoria Resort",1500 Reynolds St,"Key West, FL 33040-4768","1500 Reynolds St, Key West, FL 33040-4768",4,8079,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,307,794,24.5478,-81.7907,55.3243926,88.6493238,33.3249312,366.6629227,170898.376,31320.50145,100.1503504,0,85577815.59,KeyWest,KeyWest,0,4,311,0,1,0,1,0,0,near,33040,1.88
432,Hyatt Centric Key West Resort and Spa,601 Front Street,"Key West, FL 33040-6620","601 Front Street, Key West, FL 33040-6620",4.5,2734,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,381,789,24.5622,-81.8049,1821.167652,1829.916773,8.74912066,1935.619376,172765.8416,33447.08484,1873.02711,0,74647230.32,KeyWest,KeyWest,0,4,120,0,1,0,0,0,1,far,33040,1.88
