ID,Latitude,Longitude
coral,19.867988,-71.37395
coral,18.21035,-68.964836
coral,12.389324,-68.304496
coral,15.96073,-61.73855
coral,21.088155,-97.06514
coral,21.100641,-97.353893
coral,21.083385,-97.265033
coral,17.221681,-62.438764
coral,17.321353,-62.427965
coral,21.023983,-97.236393
coral,21.12425,-97.25837
coral,18.404929,-87.397179
coral,20.974224,-97.219677
coral,26.599048,-77.038157
coral,26.548496,-77.191047
coral,21.113141,-86.744717
coral,17.65171,-63.371309
coral,20.352105,-87.309675
coral,18.311766,-69.03724
coral,18.227151,-69.077298
coral,18.229218,-69.029158
coral,19.960643,-71.345547
coral,19.879975,-71.384067
coral,18.230822,-67.23894
coral,18.326616,-67.321612
coral,18.277714,-65.271301
coral,17.45317,-62.949034
coral,9.205148,-82.247717
coral,12.174073,-68.374634
coral,9.331017,-82.250583
coral,12.047922,-68.354763
coral,17.024797,-62.687689
coral,17.019846,-62.706735
coral,20.900389,-86.835168
coral,25.056498,-80.238469
coral,21.143742,-97.267074
coral,21.110271,-86.704485
coral,18.529464,-68.224552
coral,24.460907,-81.421032
coral,18.202053,-67.243091
coral,20.415026,-87.20238
coral,15.888568,-86.48239
coral,15.82253,-79.83888
coral,20.278595,-87.379618
coral,9.763116,-82.759964
coral,15.83396,-79.83067
coral,20.479302,-87.224189
coral,15.80542,-79.99915
coral,21.446042,-97.216431
coral,16.14202,-61.83092
coral,17.885,-87.9699
coral,12.399854,-68.254308
coral,21.172201,-97.373777
coral,18.305017,-65.296267
coral,18.280628,-65.212701
coral,18.276076,-65.32062
coral,18.340378,-67.335739
coral,21.112402,-97.26145
coral,18.278859,-87.889893
coral,18.315978,-67.283184
coral,21.082338,-97.254839
coral,15.288216,-61.227751
coral,19.534577,-96.275085
coral,24.588841,-81.593484
coral,21.555742,-97.309594
coral,16.245396,-86.67963
coral,14.45737,-80.25897
coral,20.411013,-87.208464
coral,18.691672,-87.630104
coral,18.855188,-87.603906
coral,18.93006,-87.615182
coral,18.9852,-87.606181
coral,18.636036,-87.689417
coral,18.281319,-87.895471
coral,18.438494,-64.468282
coral,18.228472,-64.481156
coral,18.313503,-64.468061
coral,13.116877,-59.786197
coral,13.119678,-59.645505
coral,19.199528,-95.84977
coral,13.053247,-59.730617
coral,23.834189,-74.568074
coral,13.848801,-61.145576
coral,15.248657,-61.231805
coral,12.027329,-68.93929
coral,18.260312,-64.681668
coral,25.19802,-80.489908
coral,17.24116,-87.790721
coral,18.239335,-65.399403
coral,17.9239,-67.111991
coral,19.6848,-80.0792
coral,9.58223,-82.253454
coral,16.05712,-86.929655
coral,16.240659,-86.304987
coral,20.741826,-86.960058
coral,18.221959,-87.756717
coral,19.7127,-79.8389
coral,26.100382,-77.554481
coral,12.128578,-68.996239
coral,12.001867,-68.929445
coral,18.362073,-87.760339
coral,17.21031,-87.898289
coral,9.587698,-82.283879
coral,21.544444,-97.276805
coral,21.548583,-97.281833
coral,21.544694,-97.276972
coral,21.549056,-97.282111
coral,18.3377,-65.5638
coral,25.076966,-80.391691
coral,18.333,-65.5673
coral,20.764778,-96.989028
coral,20.765056,-96.989194
coral,20.768417,-96.993444
coral,21.51325,-97.25325
coral,20.760778,-96.988361
coral,16.644969,-88.062391
coral,17.292774,-87.48054
coral,20.765,-96.993889
coral,20.754667,-96.994861
coral,20.754861,-96.988
coral,20.765972,-96.991555
coral,21.511556,-97.254444
coral,16.629784,-88.185732
coral,20.760167,-96.987444
coral,18.539778,-94.808361
coral,18.512111,-94.782278
coral,18.539333,-94.807972
coral,18.515778,-94.786028
coral,19.246669,-96.174165
coral,18.511889,-94.783
coral,18.539472,-94.8085
coral,16.944769,-88.14775
coral,16.790478,-88.07608
coral,18.543,-94.819194
coral,18.51625,-94.786305
coral,16.931733,-88.18998
coral,18.27947,-64.96644
coral,18.32323,-64.83592
coral,18.35835,-64.84812
coral,18.36054,-65.03217
