Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
2.38809E-9,0.000000239,0.000019571,1,0,0
5.12636E-9,0.000000751,0.000042011,0.999906191,0,0
1.50399E-8,0.000002255,0.000123244,0.999812383,0,0
2.73893E-8,0.000004994,0.000224418,0.999718574,0,0
4.24335E-8,0.000013112,0.000347643,0.999530957,0,0
6.51191E-8,0.000025768,0.000533398,0.99934334,0,0
9.25706E-8,0.000050425,0.000758087,0.999061914,0,0
1.84861E-7,0.00011511,0.001512734,0.998686679,0,0
2.39127E-7,0.000267268,0.001955931,0.998030019,0,0
3.11031E-7,0.000525375,0.002542575,0.997185741,0,0
4.58253E-7,0.001031899,0.003741555,0.995966229,0,0
1.02489E-6,0.002597868,0.008329554,0.993902439,0,0
1.79255E-6,0.005007087,0.014478139,0.992307692,0,0
2.97049E-6,0.010020936,0.023766079,0.990243902,0.001424501,0
4.85909E-6,0.025017421,0.038297554,0.986585366,0.002849003,0
7.40164E-6,0.05060558,0.057190895,0.982645403,0.005698006,0
1.04919E-5,0.100215995,0.079177994,0.977485929,0.018518519,0
1.52521E-5,0.201409078,0.111109746,0.970168856,0.01994302,0
1.72783E-5,0.301169742,0.124039608,0.96435272,0.022792023,0
1.87949E-5,0.40037635,0.133474244,0.959193246,0.024216524,0
1.98811E-5,0.501096302,0.140107291,0.954315197,0.028490028,0
2.05368E-5,0.600209695,0.14406228,0.949718574,0.02991453,0
2.16502E-5,0.701379575,0.150695823,0.94521576,0.034188034,0
2.21807E-5,0.751754082,0.153819828,0.943058161,0.035612536,0
2.2549E-5,0.801029491,0.155975835,0.940994371,0.037037037,0
2.3195E-5,0.901433214,0.15973053,0.936866792,0.037037037,0
2.41958E-5,1.001269284,0.165482145,0.932926829,0.03988604,0
2.50132E-5,1.102080938,0.170121181,0.929080675,0.041310541,0
2.57364E-5,1.201145726,0.174183371,0.925422139,0.045584046,0
2.66889E-5,1.300572805,0.179472912,0.921857411,0.045584046,0
2.74152E-5,1.400759198,0.183461117,0.918386492,0.047008547,0
2.81319E-5,1.500784225,0.187358668,0.915009381,0.04985755,0
2.97229E-5,1.750268975,0.195878858,0.906941839,0.056980057,0
3.1174E-5,2.002818465,0.20349589,0.899155722,0.061253561,0
3.26416E-5,2.25148336,0.211054245,0.891838649,0.062678063,0
3.39903E-5,2.50129531,0.217874432,0.884803002,0.064102564,0
3.51578E-5,2.750875672,0.223684095,0.87804878,0.06980057,0
3.67247E-5,3.002957938,0.231346944,0.871482176,0.071225071,0
3.769E-5,3.252593366,0.23599266,0.865196998,0.074074074,0
3.87359E-5,3.500979197,0.240963772,0.859099437,0.075498575,0
4.01246E-5,3.753757199,0.247464425,0.853095685,0.076923077,0
4.11895E-5,4.001785901,0.252374859,0.847373358,0.07977208,0
4.19503E-5,4.251217447,0.255843584,0.841744841,0.07977208,0
4.27848E-5,4.501112088,0.259611766,0.836210131,0.07977208,0
4.36654E-5,4.75196486,0.26354685,0.830769231,0.07977208,0
4.44858E-5,5.003310151,0.267175267,0.825422139,0.07977208,0
4.52086E-5,5.250151405,0.270343006,0.820262664,0.07977208,0
4.57823E-5,5.500335651,0.272837564,0.815103189,0.081196581,0
4.6446E-5,5.754122013,0.275702501,0.809943715,0.085470085,0
4.69791E-5,6.001674022,0.277987357,0.804971857,0.085470085,0
4.73924E-5,6.251770384,0.279748441,0.8,0.085470085,0
4.79831E-5,6.50468517,0.282251118,0.795028143,0.086894587,0
4.86156E-5,6.75102905,0.284911893,0.790243902,0.088319088,0
4.91329E-5,7.00010734,0.287073168,0.785459662,0.088319088,0
4.9768E-5,7.252061852,0.289708699,0.780675422,0.088319088,0
5.03908E-5,7.50248884,0.29227459,0.775984991,0.088319088,0
5.0781E-5,7.750349443,0.293872716,0.771388368,0.08974359,0
5.1172E-5,8.000186719,0.29546706,0.766791745,0.08974359,0
5.15631E-5,8.252093527,0.297054344,0.762195122,0.08974359,0
5.20093E-5,8.500735372,0.298856555,0.757692308,0.08974359,0
5.2425E-5,8.751479625,0.300527697,0.753189493,0.08974359,0
5.2904E-5,9.004205431,0.302443057,0.748686679,0.091168091,0
5.3452E-5,9.254090092,0.304621542,0.744277674,0.091168091,0
5.38077E-5,9.500843508,0.306028338,0.739962477,0.091168091,0
5.42752E-5,9.754729524,0.30786852,0.735553471,0.094017094,0
5.45695E-5,10.005109509,0.309022101,0.731238274,0.094017094,0
5.49149E-5,10.25140298,0.31037104,0.727016886,0.095441595,0
5.53207E-5,10.504971878,0.311948802,0.722701689,0.095441595,0
5.56507E-5,10.75470493,0.313226743,0.7184803,0.095441595,0
5.59724E-5,11.000376034,0.314468325,0.71435272,0.096866097,0
5.62411E-5,11.252983338,0.315501393,0.710131332,0.098290598,0
5.65568E-5,11.50113313,0.316711725,0.706003752,0.098290598,0
5.69192E-5,11.75083467,0.31809565,0.701876173,0.0997151,0
5.72621E-5,12.002055143,0.319399797,0.697748593,0.101139601,0
5.75067E-5,12.254573101,0.320327045,0.693621013,0.102564103,0
5.78406E-5,12.502628075,0.321588653,0.689587242,0.103988604,0
5.81325E-5,12.751992622,0.322688235,0.685553471,0.103988604,0
5.83863E-5,13.002488246,0.323640956,0.6815197,0.103988604,0
5.87423E-5,13.254331707,0.324973087,0.677485929,0.103988604,0
5.90587E-5,13.501826115,0.326152603,0.673545966,0.103988604,0
5.92921E-5,13.750423398,0.327019802,0.669606004,0.103988604,0
5.95375E-5,14.000029323,0.327929711,0.665666041,0.103988604,0
5.98555E-5,14.250859732,0.329104731,0.661726079,0.103988604,0
6.0168E-5,14.502887774,0.330255342,0.657786116,0.103988604,0
6.04483E-5,14.750162646,0.331284286,0.653939962,0.103988604,0
6.06903E-5,15.004534517,0.332170066,0.65,0.103988604,0
6.10828E-5,15.254117403,0.333601649,0.646153846,0.105413105,0
6.12838E-5,15.504942549,0.334332323,0.642307692,0.105413105,0
6.14957E-5,15.750602544,0.335100772,0.638555347,0.106837607,0
6.17673E-5,16.003274613,0.336083707,0.634709193,0.106837607,0
6.19825E-5,16.250831177,0.336859939,0.630956848,0.108262108,0
6.22034E-5,16.505384858,0.337655327,0.627110694,0.10968661,0
6.24147E-5,16.754605376,0.338414108,0.623358349,0.10968661,0
6.27113E-5,17.004880384,0.339476397,0.619606004,0.111111111,0
6.29294E-5,17.256121766,0.340255296,0.615853659,0.111111111,0
6.32253E-5,17.502220671,0.341309141,0.612195122,0.118233618,0
6.34174E-5,17.755543277,0.341991362,0.608442777,0.121082621,0
6.3629E-5,18.003253266,0.342741325,0.60478424,0.123931624,0
6.38348E-5,18.251836551,0.343469355,0.601125704,0.123931624,0
6.40296E-5,18.501193491,0.344156452,0.597467167,0.126780627,0
6.42647E-5,18.751295174,0.34498449,0.59380863,0.128205128,0
6.44852E-5,19.002413999,0.345758578,0.590150094,0.131054131,0
6.47016E-5,19.2543401,0.346516871,0.586491557,0.131054131,0
6.49412E-5,19.500632942,0.34735439,0.582926829,0.132478632,0
