X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
-71.37395,19.867988,train,9.698264179265903E-5,40.69475375654696,0.43633431029849884
-68.964836,18.21035,train,9.050734695471061E-5,37.792279896042835,0.419420293664227
-68.304496,12.389324,train,1.660016229198445E-4,60.82893886913985,0.5698925914779274
-61.73855,15.96073,train,6.620277698475929E-5,24.60897301952501,0.34572994900090276
-97.06514,21.088155,train,5.955280660764619E-5,16.498591996894717,0.3221909568223731
-97.353893,21.100641,train,5.193715258698343E-5,9.460731125254757,0.2930637688260142
-97.265033,21.083385,train,5.263014638060986E-5,9.989131772765706,0.29581735490197736
-62.438764,17.221681,train,5.875151913236174E-5,15.753186828438839,0.31923979088011
-62.427965,17.321353,train,5.81859430167834E-5,15.119341255178865,0.3171412382567553
-97.236393,21.023983,train,5.37684049341035E-5,10.935153430550878,0.300293927551851
-87.397179,18.404929,train,5.364011769219683E-4,96.13296696301651,0.810658976661693
-97.219677,20.974224,train,5.2713523548660596E-5,10.058090654721711,0.29614720608829725
-77.038157,26.599048,train,6.570786596337413E-5,24.13138869014004,0.34403456188614107
-77.191047,26.548496,train,6.654033754023653E-5,24.884700121703375,0.3468812917019088
-86.744717,21.113141,train,5.45997126248591E-4,96.2919762904975,0.8133656017975138
-63.371309,17.65171,train,5.975771482368469E-5,16.732307661404192,0.32294153624964445
-87.309675,20.352105,train,5.668171046724922E-4,96.8624986327904,0.8189799883211756
-69.03724,18.311766,train,8.896530733144985E-5,36.91012546291315,0.41524162836453055
-69.077298,18.227151,train,8.947024916349792E-5,37.15989569126223,0.4166165427735446
-71.345547,19.960643,train,9.891525246850132E-5,41.578011170021654,0.44119313755733763
-67.23894,18.230822,train,7.697383129203104E-5,31.32242286807266,0.38057246571428355
-67.321612,18.326616,train,7.64790648468979E-5,31.086143861638917,0.3790534975072508
-65.271301,18.277714,train,6.702383968515173E-5,25.21836325578745,0.34852336722003563
-62.949034,17.45317,train,5.8735012951874544E-5,15.729766719239166,0.3191787279523601
-82.247717,9.205148,train,1.3571655587485084E-4,53.36804215485276,0.5199853316403428
-68.374634,12.174073,train,1.7898885505561633E-4,65.30691577076192,0.5882507897248378
