Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
3.57685E-7,0.000035769,0.002812116,1,0,0
3.76975E-7,0.000073466,0.002963322,0.99990605,0,0
3.78406E-7,0.000111307,0.002974541,0.999812101,0,0
6.56507E-7,0.000262188,0.005149354,0.999530252,0,0
1.15377E-6,0.000553818,0.009014508,0.999248403,0,0
1.53421E-6,0.001111817,0.011951384,0.998872604,0,0
2.22069E-6,0.002697687,0.017206992,0.998121007,0,0
3.14781E-6,0.005301208,0.024216799,0.997181511,0,0
4.13497E-6,0.010371566,0.031571523,0.995866216,0,0
6.55415E-6,0.025573816,0.049134932,0.993329575,0,0
7.9115E-6,0.050714015,0.058713238,0.990135287,0.001455604,0
1.05554E-5,0.100045078,0.076827104,0.985062007,0.005822416,0
1.3527E-5,0.201095376,0.096370805,0.977264186,0.008733624,0
1.64415E-5,0.300116326,0.114752209,0.97096956,0.016011645,0
1.89742E-5,0.400175849,0.130128822,0.96570838,0.020378457,0
1.96583E-5,0.500973635,0.134191083,0.960822999,0.020378457,0
2.04468E-5,0.601255474,0.138825916,0.956125517,0.020378457,0
2.15304E-5,0.702129508,0.145115954,0.951615934,0.020378457,0
2.20347E-5,0.752203078,0.148011489,0.949455092,0.020378457,0
2.24881E-5,0.801174698,0.150598666,0.9473882,0.020378457,0
2.32965E-5,0.901766201,0.155172444,0.943254416,0.020378457,0
2.4272E-5,1.001687513,0.160626227,0.939308531,0.021834061,0
2.49529E-5,1.100415989,0.164391425,0.935550545,0.023289665,0
2.56589E-5,1.201686844,0.168259878,0.931792559,0.026200873,0
2.63101E-5,1.300405527,0.171796761,0.928222473,0.027656477,0
2.67109E-5,1.401153932,0.173958393,0.924652386,0.027656477,0
2.72019E-5,1.500979907,0.176591517,0.92117625,0.029112082,0
2.85287E-5,1.751693728,0.183623417,0.912720782,0.03202329,0
2.95947E-5,2.001634321,0.189186666,0.904641112,0.033478894,0
3.06111E-5,2.251217723,0.194420813,0.896843292,0.034934498,0
3.13188E-5,2.502423991,0.198025461,0.889233371,0.034934498,0
3.21169E-5,2.75034805,0.202052292,0.881905299,0.034934498,0
3.26864E-5,3.002499561,0.204901001,0.874577227,0.034934498,0
3.35562E-5,3.251070797,0.209212513,0.867531003,0.034934498,0
3.42485E-5,3.501850617,0.212611171,0.86057873,0.034934498,0
3.5031E-5,3.751484846,0.216417458,0.853814356,0.036390102,0
3.57917E-5,4.003075624,0.220082887,0.847143931,0.037845706,0
3.66318E-5,4.252735769,0.224091007,0.840661405,0.040756914,0
3.75971E-5,4.501232479,0.228645644,0.834366779,0.042212518,0
3.83645E-5,4.751894549,0.232228903,0.828166103,0.042212518,0
3.9039E-5,5.00322004,0.235351,0.822059376,0.042212518,0
3.97006E-5,5.251127493,0.238388482,0.816140549,0.042212518,0
4.02561E-5,5.502947831,0.24092066,0.810221721,0.043668122,0
4.07438E-5,5.750223065,0.24312991,0.804490793,0.043668122,0
4.12388E-5,6.000259809,0.245358983,0.798759865,0.043668122,0
4.17931E-5,6.253543312,0.247839382,0.793028936,0.043668122,0
4.22401E-5,6.501223552,0.249827972,0.787485908,0.045123726,0
4.26305E-5,6.751561917,0.251555943,0.781942879,0.045123726,0
4.30263E-5,7.000046614,0.253300243,0.776493799,0.045123726,0
4.34262E-5,7.250809697,0.255053747,0.77104472,0.045123726,0
4.38358E-5,7.503835233,0.256841475,0.765595641,0.045123726,0
4.43706E-5,7.75078518,0.259163149,0.760334461,0.045123726,0
4.4719E-5,8.000290455,0.26066772,0.755073281,0.045123726,0
4.51508E-5,8.252125115,0.262523571,0.749812101,0.048034934,0
4.56365E-5,8.501837503,0.264600396,0.74464487,0.049490539,0
4.61101E-5,8.754288671,0.266614539,0.73947764,0.050946143,0
4.66221E-5,9.004646885,0.268779057,0.734404359,0.053857351,0
4.71304E-5,9.252927711,0.270915687,0.729425028,0.053857351,0
4.7448E-5,9.503618492,0.272244179,0.724445697,0.058224163,0
4.77156E-5,9.751201248,0.273360049,0.719560316,0.058224163,0
4.80367E-5,10.000260657,0.274694362,0.714674934,0.059679767,0
4.83527E-5,10.25085436,0.276002638,0.709789553,0.064046579,0
4.86451E-5,10.502936374,0.277208749,0.704904171,0.068413392,0
4.89072E-5,10.7517794,0.278286963,0.70011274,0.069868996,0
4.91487E-5,11.00183281,0.279277106,0.695321308,0.0713246,0
4.9365E-5,11.253097174,0.280161835,0.690529876,0.072780204,0
4.95704E-5,11.50048175,0.281000156,0.685832394,0.07860262,0
4.97827E-5,11.753840702,0.281864306,0.681040962,0.084425036,0
4.99315E-5,12.00311728,0.282468848,0.67634348,0.088791849,0
5.01603E-5,12.253338903,0.283396391,0.671645998,0.090247453,0
5.03555E-5,12.504594844,0.284185858,0.666948516,0.093158661,0
5.05859E-5,12.751888872,0.285115528,0.662344983,0.094614265,0
5.08582E-5,13.000448466,0.286210929,0.657741451,0.100436681,0
5.11361E-5,13.250282346,0.28732547,0.653137918,0.101892285,0
5.13814E-5,13.501462607,0.288306183,0.648534386,0.103347889,0
5.16443E-5,13.753898567,0.289354543,0.643930853,0.104803493,0
5.18556E-5,14.002297793,0.290194788,0.63942127,0.107714702,0
5.21218E-5,14.251824862,0.291250652,0.634911687,0.112081514,0
5.2384E-5,14.502612361,0.292287576,0.630402104,0.113537118,0
5.25735E-5,14.754507016,0.293035224,0.625892522,0.113537118,0
5.28772E-5,15.002336589,0.294230098,0.621476888,0.114992722,0
5.31269E-5,15.251506848,0.295209317,0.617061255,0.11790393,0
5.34028E-5,15.501836884,0.296287862,0.612645622,0.119359534,0
5.37634E-5,15.753721409,0.297693013,0.608229989,0.120815138,0
5.41058E-5,16.001875903,0.299022286,0.603908305,0.122270742,0
5.4367E-5,16.251339009,0.300032363,0.599586622,0.125181951,0
5.46236E-5,16.502000429,0.301022255,0.595264938,0.129548763,0
5.48927E-5,16.753869099,0.302057557,0.590943254,0.132459971,0
5.51436E-5,17.001490851,0.30301972,0.58671552,0.136826783,0
5.53758E-5,17.250123355,0.303907656,0.582487787,0.136826783,0
5.56361E-5,17.505387632,0.304900939,0.578166103,0.136826783,0
5.59647E-5,17.751044084,0.306150485,0.574032319,0.136826783,0
5.62558E-5,18.003612723,0.307253601,0.569804585,0.138282387,0
5.654E-5,18.251793108,0.3083272,0.5656708,0.138282387,0
5.67946E-5,18.501092575,0.309286216,0.561537016,0.138282387,0
5.70917E-5,18.751718607,0.310401898,0.557403232,0.139737991,0
5.72879E-5,19.003384568,0.31113675,0.553269448,0.141193595,0
5.75516E-5,19.250300547,0.312121617,0.549229613,0.141193595,0
5.78028E-5,19.504100825,0.313057771,0.545095829,0.142649199,0
5.81077E-5,19.753362723,0.31419025,0.541055994,0.145560408,0
